PH,Temp,Turbidity,TSS,BOD5,COD,DO,Amoni,Phosphat,Coliforms,WQI
7.2,27.8,60,210,3.2,6.6,7.2,0.35,0.84,2600,49.68
7.1,27.6,65,180,3.15,6.8,7.7,0.88,0.95,4700,65.34
7.3,27.7,65,195,3.68,7.8,7,2.25,1.36,8500,51.53
7.1,27.5,70,180,3.5,6.2,6.7,2.33,1.41,7500,55.26
6.9,27.5,80,100,3.84,6.8,6.4,1.87,2.74,9500,49.51
6.5,27.5,90,80,5.68,10.5,4.9,3.64,3.17,10800,15.23
7.2,27,95,120,3.62,5.5,6.8,2.4,1.06,8300,52.24
7,27.5,120,100,4.18,7.7,5.8,2.86,1.65,9800,27.8
6.4,28.1,190,60,8.45,14.5,2.2,4.12,4.12,14000,9.62
7.4,28,70,310,2.85,4.88,7.1,0.004,0.24,1500,49.45
7.3,28,70,270,3.15,8.15,7.8,0.005,0.46,2700,75.22
7.3,28,80,230,3.35,5.36,6.87,0.008,0.58,3300,73.35
7.4,28,80,220,3.25,6.2,6.85,0.33,0.63,4200,68.81
7,27.5,85,150,3.66,6.6,6.2,0.47,0.67,6800,59.2
6.7,27.5,90,120,4.34,7.3,4.7,0.75,1.88,8800,48.88
7.2,27,100,210,3.45,7.8,6.9,0.45,0.86,4700,18.05
7.1,27.5,115,18,4.05,7.2,6.1,0.66,0.95,5600,62.22
6.5,28,200,90,6.87,10.6,3.4,1.74,2.68,12000,9.19
7.3,27.5,75,120,2.85,5.2,7.7,0.004,0.011,350,67.17
7.2,27.5,70,130,3.05,5.45,7.85,0.005,0.025,6500,67.17
7.2,27.5,90,130,3.2,6.15,7.42,0.008,0.025,6500,47.02
7.2,26.5,90,120,3.65,5.83,6.86,1.15,1.17,9500,35.76
6.7,27.5,100,80,4.15,6.75,6.31,1.86,1.36,8600,38.42
6.6,27.5,130,60,5.38,8.26,4.15,3.75,2.14,7800,38.74
7.1,27,130,100,3.88,6.12,6.48,2.14,1.28,5700,31.08
7.1,27.5,190,80,4.3,7.38,5.21,2.67,1.68,9700,9.54
6.5,27,230,70,7.67,11.74,2.24,3.94,3.85,120000,16.91
